ID,age_range,datetime,gender,involved_person,legislation,location__latitude,location__longitude,location__street__id,location__street__name,object_of_search,officer_defined_ethnicity,operation,operation_name,outcome,outcome_linked_to_object_of_search,outcome_object__id,outcome_object__name,removal_of_more_than_outer_clothing,self_defined_ethnicity,type
27,over 34,2019-12-05T21:02:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.528646,0.037444,962220,On or near Moat Drive,Controlled drugs,Asian,FALSE,null,Arrest,null,bu-arrest,Arrest,null,Other ethnic group - Not stated,Person search
28,over 34,2019-12-05T23:00:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.524247,0.039612,962245,On or near Boundary Road,Evidence of offences under the Act,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Any other Asian background,Person search
29,over 34,2019-12-02T13:40:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.52446,0.035643,962256,On or near Angus Road,Controlled drugs,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,White - English/Welsh/Scottish/Northern Irish/British,Person search
30,null,2019-12-06T14:23:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),51.537129,0.024831,963423,On or near Plashet Road,Stolen goods,White,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Other ethnic group - Not stated,Person search
31,18-24,2019-12-05T16:22:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.529832,0.031312,963563,On or near Old Street,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
32,Oct-17,2019-12-06T15:40:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.525677,0.03081,962252,On or near Beaumont Road,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
33,18-24,2019-12-06T15:44:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.525677,0.03081,962252,On or near Beaumont Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Pakistani,Person search
34,Oct-17,2019-12-06T15:40:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.525677,0.03081,962252,On or near Beaumont Road,Controlled drugs,Black,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
35,Oct-17,2019-12-06T15:47:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.525677,0.03081,962252,On or near Beaumont Road,Controlled drugs,Asian,FALSE,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,null,Asian/Asian British - Bangladeshi,Person search
36,Oct-17,2019-12-06T15:55:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),51.530172,0.037642,963572,On or near Central Park Road,Controlled drugs,Asian,FALSE,null,Arrest,null,bu-arrest,Arrest,null,Asian/Asian British - Pakistani,Person search
